AL, 18, 2012102118,   , BEST,   0, 143N,  774W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1008,  180, 150,  35,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 18, 2012102200,   , BEST,   0, 139N,  778W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 1008,  180, 150,  35,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 18, 2012102206,   , BEST,   0, 135N,  782W,  25, 1003, LO,   0,    ,    0,    0,    0,    0, 1008,  225,  75,  35,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 18, 2012102212,   , BEST,   0, 131N,  786W,  30, 1002, TD,   0,    ,    0,    0,    0,    0, 1007,  250,  75,   0,   0,   L,   0,    ,   0,   0,   EIGHTEEN, M, 
AL, 18, 2012102218,   , BEST,   0, 127N,  787W,  35, 1000, TS,  34, NEQ,   50,   60,    0,    0, 1007,  250,  60,  45,   0,   L,   0,    ,   0,   0,   EIGHTEEN, M, 
AL, 18, 2012102300,   , BEST,   0, 126N,  784W,  40,  998, TS,  34, NEQ,   50,   60,    0,    0, 1007,  250,  40,  50,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   60,   60,    0,    0
AL, 18, 2012102806,   , BEST,   0, 313N,  739W,  65,  959, HU,  34, NEQ,  450,  300,  300,  270, 1006,  480,  90,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  600,  630,  390,  300
AL, 18, 2012102806,   , BEST,   0, 313N,  739W,  65,  959, HU,  50, NEQ,    0,  180,  180,  210, 1006,  480,  90,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  600,  630,  390,  300
AL, 18, 2012102806,   , BEST,   0, 313N,  739W,  65,  959, HU,  64, NEQ,    0,    0,  150,  180, 1006,  480,  90,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  600,  630,  390,  300
AL, 18, 2012102812,   , BEST,   0, 320N,  730W,  65,  954, HU,  34, NEQ,  450,  300,  300,  270, 1006,  480, 100,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  600,  420,  270
AL, 18, 2012102812,   , BEST,   0, 320N,  730W,  65,  954, HU,  50, NEQ,    0,  150,  200,  210, 1006,  480, 100,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  600,  420,  270
AL, 18, 2012102812,   , BEST,   0, 320N,  730W,  65,  954, HU,  64, NEQ,    0,    0,  150,  180, 1006,  480, 100,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  600,  420,  270
AL, 18, 2012102818,   , BEST,   0, 328N,  720W,  65,  952, HU,  34, NEQ,  450,  300,  350,  270, 1006,  500, 120,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  660,  460,  270
AL, 18, 2012102818,   , BEST,   0, 328N,  720W,  65,  952, HU,  50, NEQ,    0,  150,  200,  210, 1006,  500, 120,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  660,  460,  270
AL, 18, 2012102818,   , BEST,   0, 328N,  720W,  65,  952, HU,  64, NEQ,    0,    0,  150,  180, 1006,  500, 120,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  660,  460,  270
AL, 18, 2012102900,   , BEST,   0, 339N,  710W,  70,  950, HU,  34, NEQ,  450,  300,  400,  270, 1004,  500, 120,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  660,  660,  480
AL, 18, 2012102900,   , BEST,   0, 339N,  710W,  70,  950, HU,  50, NEQ,  150,  150,  200,  200, 1004,  500, 120,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  660,  660,  480
AL, 18, 2012102900,   , BEST,   0, 339N,  710W,  70,  950, HU,  64, NEQ,    0,    0,  150,    0, 1004,  500, 120,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  660,  660,  480
AL, 18, 2012102906,   , BEST,   0, 353N,  705W,  80,  947, HU,  34, NEQ,  420,  360,  450,  270, 1004,  500, 100,  90,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  660,  660,  480
AL, 18, 2012102906,   , BEST,   0, 353N,  705W,  80,  947, HU,  50, NEQ,  150,  150,  200,  180, 1004,  500, 100,  90,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  660,  660,  480
AL, 18, 2012102906,   , BEST,   0, 353N,  705W,  80,  947, HU,  64, NEQ,    0,    0,  150,    0, 1004,  500, 100,  90,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  660,  660,  480
AL, 18, 2012102912,   , BEST,   0, 369N,  710W,  85,  945, HU,  34, NEQ,  420,  420,  400,  270, 1004,  500, 110, 100,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  720,  660,  480
AL, 18, 2012102912,   , BEST,   0, 369N,  710W,  85,  945, HU,  50, NEQ,  200,  150,  200,  180, 1004,  500, 110, 100,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  720,  660,  480
AL, 18, 2012102912,   , BEST,   0, 369N,  710W,  85,  945, HU,  64, NEQ,    0,   70,  120,    0, 1004,  500, 110, 100,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  720,  660,  480
AL, 18, 2012102918,   , BEST,   0, 383N,  732W,  80,  940, HU,  34, NEQ,  420,  420,  400,  420, 1004,  500, 110, 100,   0,   L,   0,    ,   0,   0,      SANDY, D, 
AL, 18, 2012102918,   , BEST,   0, 383N,  732W,  80,  940, HU,  50, NEQ,  220,  150,  200,  150, 1004,  500, 110, 100,   0,   L,   0,    ,   0,   0,      SANDY, D, 
AL, 18, 2012102918,   , BEST,   0, 383N,  732W,  80,  940, HU,  64, NEQ,  180,   80,  120,    0, 1004,  500, 110, 100,   0,   L,   0,    ,   0,   0,      SANDY, D, 
AL, 18, 2012102921,   , BEST,   0, 388N,  740W,  75,  943, EX,  34, NEQ,  420,  420,  400,  420, 
AL, 18, 2012102921,   , BEST,   0, 388N,  740W,  75,  943, EX,  50, NEQ,  220,  150,  200,  150, 
AL, 18, 2012102921,   , BEST,   0, 388N,  740W,  75,  943, EX,  64, NEQ,  180,   80,  120,    0, 
AL, 18, 2012102923, 30, BEST,   0, 394N,  744W,  70,  945, EX,  34, NEQ,  460,  370,  400,  490, 
AL, 18, 2012102923, 30, BEST,   0, 394N,  744W,  70,  945, EX,  50, NEQ,  180,  150,   80,   50, 
AL, 18, 2012102923, 30, BEST,   0, 394N,  744W,  70,  945, EX,  64, NEQ,   70,   80,   60,    0, 
AL, 18, 2012103000,   , BEST,   0, 395N,  745W,  70,  946, EX,  34, NEQ,  460,  370,  400,  490, 1006,  525,  80,  85,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  660,  995,  660,  180
AL, 18, 2012103000,   , BEST,   0, 395N,  745W,  70,  946, EX,  50, NEQ,  150,  150,   80,   50, 1006,  525,  80,  85,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  660,  995,  660,  180
AL, 18, 2012103000,   , BEST,   0, 395N,  745W,  70,  946, EX,  64, NEQ,   65,    0,    0,    0, 1006,  525,  80,  85,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  660,  995,  660,  180
AL, 18, 2012103006,   , BEST,   0, 399N,  762W,  55,  960, EX,  34, NEQ,  450,  400,  160,  530, 1006,  480,  80,  75,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  600,  995,  600,    0
AL, 18, 2012103006,   , BEST,   0, 399N,  762W,  55,  960, EX,  50, NEQ,  150,  150,   30,   30, 1006,  480,  80,  75,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  600,  995,  600,    0
AL, 18, 2012103012,   , BEST,   0, 401N,  778W,  50,  978, EX,  34, NEQ,  450,  490,    0,  500, 1006,  480,  30,   0,   0,   L,   0,    ,   0,   0,      SANDY, M, 
AL, 18, 2012103012,   , BEST,   0, 401N,  778W,  50,  978, EX,  50, NEQ,    0,    0,    0,  260, 1006,  480,  30,   0,   0,   L,   0,    ,   0,   0,      SANDY, M, 
AL, 18, 2012103018,   , BEST,   0, 404N,  789W,  40,  986, EX,  34, NEQ,    0,  530,    0,  430, 1006,  480,  30,  50,   0,   L,   0,    ,   0,   0,      SANDY, M, 
AL, 18, 2012103100,   , BEST,   0, 407N,  798W,  35,  992, EX,  34, NEQ,    0,    0,    0,  410, 
AL, 18, 2012103106,   , BEST,   0, 411N,  803W,  35,  993, EX,  34, NEQ,    0,    0,    0,  380, 
AL, 18, 2012103112,   , BEST,   0, 415N,  807W,  30,  995, EX,   0,    ,    0,    0,    0,    0, 
